Natrum phosphoricum
Natrum salicylicum
Natrum selenicum
Natrum silicicum
Natrum silicofluoricum
Natrum succinicum
Natrum sulphocarbolicum
Natrum sulphuricum
Natrum sulphurosum
Natrum telluricum
Nectandra amare
Negundium americanum
Nepeta cataria
Nerium odorum
Niccolum
Niccolum sulphuricum
Nicotinum
Nitri spiritus dulcis
Nitricum acidum
Nitro-muriatic acid
Nuphar luteum
Nux moschata
Nux vomica
Nyctanthes
Nymphaea oderata
Ocimum canum
Oenanthe crocata
Oenothera biennis
Oestrus cameli
Oleander
Oleum animale
Oleum caryophyllatum
Oleum jecoris aselli
Oleum myristicae
Oleum santali
Oniscus asellus
Ononis spinosa (arvensis)
Onosmodium
Oophorinum
Operculina turpethum
Opium
Opuntia
Orchitinum
Oreodaphne
Origanum
Ornithogalum umbellatum
Osmium
Ostrya virginica
Ouabain
Ova tosta
Ovi gallinae pellicula
Oxalicum acidum
Oxalis acetosella
Oxydendron
Oxytropis
Ozone
Paeonia
Palladium
Pambotano
Panacea arvensis
Pancreatin
Paraffine
Pareira brava
Parietaria officinalis
Paris quadrifolia
Parthenium escoba amargo
Passiflora incarnata
Pastinaca sativa
Paullinia sorbilis
Pecten jacobeus
Pedicularis canadensis
Pediculus capitis
Pelletierinum
Penthorum
Pepsinum
Periploca graeca
Pertussin
Petiveria tetrandra
Petroleum
Petroselinum
Phaseolus
Phellandrium
Phleum pratense
Phlorizinum
Phosphoricum acidum
Phosphorus
Phosphorus hydrogenatus
Phosphorus pentachloratus
Physalis solanum vesicarium
Physostigma
Phytolacca
Picrirum acidum
Picrotoxinum
Pilocarpin mur
Pilocarpus microphyllus
Pimenta officinalis
Pimpinella saxifraga
Pinus lambertiana
Pinus sylvestris
Piper methysticum
Piper nigrum
Piperazinum
Piscidia erythrina
Pituitary gland
Pitutrin
Pix liquida
Plantago major
Platina
Platinum muriaticum
Plumbago litteralis
Plumbum aceticum
Plumbum chromicum
Plumbum iodatum
Plumbum metallicum
Plumbum phosphoricum
Plumeria celinus
Podophyllum
Polygonum aviculare
Polygonum punctatum
Polygonum sagittatum
Polymnia uvedalia
Polyporus pinicola
Polytrichum juniperinum
Populus candicans
Populus tremuloides
Pothos foetidus
Primula farinosa
Primula obconica
Primula veris
Propylamin trimethylaminum
Prunus padus
Prunus spinosa
Prunus virginiana
Psorinum
Ptelea
Pulex irritans
Pulmo vulpis
Pulsatilla
Pulsatilla Pratensis (Wind Flower)
Pyrarara
Pyrogenium
Pyrus
Pyrus malus
Quassia
Quercis glandium spiritus
Quillaya saponaria
Quinidine
Radium
Ranunculus acris
Ranunculus bulbosus
Ranunculus flammula
Ranunculus glacialis
Ranunculus repens
Ranunculus sceleratus
Raphanus
Ratanhia
Resorcinum
Rhamnus californica
Rhamnus cathartica or Rhamnus frangula
Rheum
Rhodium
Rhododendron
Rhus aromatic
Rhus diversiloba
Rhus glabra
Rhus radicans
Rhus toxicodendron
Rhus venenata
Ricinus communis bofareira
Robinia
Rosa damascena
Rosmarinus officinalis
Rubia tinctorum
Rubus villosus
Rumex acetosa
Rumex crispus
Ruta graveolens
Sabadilla
Sabal serrulata
Sabina
